fact,explanation,action,gen_time
"[-0.18622771, 0.9851735, 0.036362726, -0.0013589062, 0.01063904, -0.0043872097, 0.0, 0.0]","[0.026060104, 1.376831, 0.41750416, -0.24535447, -0.014084421, -0.040727317, 0.0, 0.0]",0,6.444783449172974
"[-0.18622771, 0.9851735, 0.036362726, -0.0013589062, 0.01063904, -0.0043872097, 0.0, 0.0]","[-0.0031087876, 1.3939731, -0.03914491, -0.11429617, 0.0007349347, -0.010842138, 0.0, 0.0]",0,6.444783449172974
"[-0.0010281563, 0.13194616, 0.014911279, -0.0311666, 0.011367064, -0.05179163, 0.0, 0.0]","[0.038111784, 1.376248, 0.6178516, -0.31814346, -0.027282648, -0.007835332, 0.0, 0.0]",2,7.118535041809082
"[-0.0010281563, 0.13194616, 0.014911279, -0.0311666, 0.011367064, -0.05179163, 0.0, 0.0]","[-0.028991222, 1.447489, -0.4687675, 0.20456353, 0.023399422, 0.003846718, 0.0, 0.0]",2,7.118535041809082
"[-0.0010281563, 0.13194616, 0.014911279, -0.0311666, 0.011367064, -0.05179163, 0.0, 0.0]","[-0.024504472, 1.4270496, -0.39459664, 0.0609922, 0.0152898235, -0.01943734, 0.0, 0.0]",2,7.118535041809082
"[-0.0010281563, 0.13194616, 0.014911279, -0.0311666, 0.011367064, -0.05179163, 0.0, 0.0]","[-0.04317522, 1.3960488, -0.7041354, -0.11923726, 0.033003658, 0.062241368, 0.0, 0.0]",2,7.118535041809082
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[0.006499958, 1.348612, 0.10106943, -0.43726066, 0.0057174372, 0.021298999, 0.0, 0.0]",0,6.184036731719971
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[0.010293961, 1.3663164, 0.15626648, -0.30544943, -0.01474424, -0.032697108, 0.0, 0.0]",0,6.184036731719971
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[0.01571064, 1.3523817, 0.24995844, -0.4072564, -0.019789338, -0.08280921, 0.0, 0.0]",0,6.184036731719971
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[-0.0273921, 1.4233075, -0.44804725, 0.025821732, 0.024845155, 0.03141951, 0.0, 0.0]",0,6.184036731719971
"[-0.04813986, 0.18935767, 0.0043962756, -0.05454157, -0.038900312, 0.08509525, 0.0, 0.0]","[0.03912554, 1.4226601, 0.6362941, 0.04310752, -0.034002457, -0.041405626, 0.0, 0.0]",2,6.071797847747803
"[-0.04813986, 0.18935767, 0.0043962756, -0.05454157, -0.038900312, 0.08509525, 0.0, 0.0]","[-0.02425537, 1.460472, -0.41095328, 0.30074093, 0.04659259, 0.14997569, 0.0, 0.0]",2,6.071797847747803
"[-0.04813986, 0.18935767, 0.0043962756, -0.05454157, -0.038900312, 0.08509525, 0.0, 0.0]","[-0.039499473, 1.4152609, -0.6392039, -0.028786367, 0.029766224, 0.011026677, 0.0, 0.0]",2,6.071797847747803
"[-0.04813986, 0.18935767, 0.0043962756, -0.05454157, -0.038900312, 0.08509525, 0.0, 0.0]","[0.044438172, 1.3615972, 0.72240293, -0.3876678, -0.040977456, -0.07905597, 0.0, 0.0]",2,6.071797847747803
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[-0.04323263, 1.4218767, -0.7017467, 0.020495264, 0.036341775, 0.033830155, 0.0, 0.0]",2,6.385574579238892
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[0.039149858, 1.4688432, 0.66251296, 0.3623578, -0.036362182, -0.13616005, 0.0, 0.0]",2,6.385574579238892
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[-0.042239666, 1.4247577, -0.6917189, 0.03617964, 0.042190928, 0.062089443, 0.0, 0.0]",2,6.385574579238892
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[0.007361221, 1.475446, 0.110124625, 0.42192537, 0.0043997527, 0.07095993, 0.0, 0.0]",2,6.385574579238892
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[0.045224477, 1.3772936, 0.73196423, -0.31053898, -0.03337319, -0.007870416, 0.0, 0.0]",2,5.239647626876831
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[-0.03736086, 1.4718595, -0.604528, 0.39177138, 0.029236175, 0.01685379, 0.0, 0.0]",2,5.239647626876831
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[-0.03945484, 1.3843781, -0.6793057, -0.17236201, 0.028592309, 0.04404051, 0.0, 0.0]",2,5.239647626876831
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[-0.04617262, 1.3664751, -0.757436, -0.35311764, 0.040284418, 0.080396906, 0.0, 0.0]",2,5.239647626876831
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[-0.032544136, 1.4064679, -0.5299816, -0.061005507, 0.0302082, 0.04832345, 0.0, 0.0]",2,5.239647626876831
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[0.01923666, 1.440239, 0.313726, 0.17865951, -0.013383249, -0.062316827, 0.0, 0.0]",2,5.161870956420898
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[0.04379616, 1.3506762, 0.71378636, -0.48707888, -0.042898543, -0.09882874, 0.0, 0.0]",2,5.161870956420898
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[0.04099884, 1.4235101, 0.67543024, 0.043557297, -0.031196892, -0.019977974, 0.0, 0.0]",2,5.161870956420898
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[0.046008587, 1.4176289, 0.75329226, -0.016380964, -0.04163721, -0.05563842, 0.0, 0.0]",2,5.161870956420898
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[-0.034897137, 1.4496747, -0.5624001, 0.22103266, 0.021597082, -0.020307787, 0.0, 0.0]",2,6.0444655418396
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[-0.034973525, 1.4676032, -0.57988137, 0.3537844, 0.037177127, 0.08593395, 0.0, 0.0]",2,6.0444655418396
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[-0.03941841, 1.4504808, -0.64322436, 0.22727905, 0.03475789, 0.03638527, 0.0, 0.0]",2,6.0444655418396
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[-0.026149273, 1.3454306, -0.4177173, -0.4667528, 0.018699184, 0.0387292, 0.0, 0.0]",2,6.0444655418396
"[0.029363727, 0.060958896, 0.038775608, 0.0058875917, -0.010983357, -0.040131714, 0.0, 0.0]","[-0.00014095307, 1.3578523, -0.019017966, -0.35368183, 0.0006634169, -0.014249228, 0.0, 0.0]",0,5.744957447052002
"[0.029363727, 0.060958896, 0.038775608, 0.0058875917, -0.010983357, -0.040131714, 0.0, 0.0]","[0.02313223, 1.3513215, 0.37620538, -0.37455958, -0.019886145, -0.0722186, 0.0, 0.0]",0,5.744957447052002
"[0.029363727, 0.060958896, 0.038775608, 0.0058875917, -0.010983357, -0.040131714, 0.0, 0.0]","[0.004437065, 1.3793433, 0.053288896, -0.22699127, 0.007431164, 0.052058198, 0.0, 0.0]",0,5.744957447052002
"[0.029363727, 0.060958896, 0.038775608, 0.0058875917, -0.010983357, -0.040131714, 0.0, 0.0]","[0.043139268, 1.4236115, 0.71218586, 0.059213605, -0.051139306, -0.13835898, 0.0, 0.0]",0,5.744957447052002
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[-1.859665e-05, 1.3518533, 0.001627941, -0.3768364, 0.002703372, 0.011705891, 0.0, 0.0]",0,4.782228946685791
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[0.03355465, 1.365844, 0.5584856, -0.34260646, -0.028579565, -0.04880372, 0.0, 0.0]",0,4.782228946685791
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[0.021854306, 1.3433627, 0.36151925, -0.4605193, -0.024377765, -0.09000979, 0.0, 0.0]",0,4.782228946685791
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[0.00026369095, 1.341907, 0.0042310497, -0.4628668, 0.011840435, 0.049925663, 0.0, 0.0]",0,4.782228946685791
"[0.040008735, 0.079246126, 0.030605962, 0.008333608, -0.02343434, -0.019112576, 0.0, 0.0]","[0.012567997, 1.4446821, 0.18752709, 0.19395418, 0.00221592, 0.09011204, 0.0, 0.0]",2,5.713190317153931
"[0.040008735, 0.079246126, 0.030605962, 0.008333608, -0.02343434, -0.019112576, 0.0, 0.0]","[-0.006000042, 1.3994703, -0.09897916, -0.083648086, 0.014592102, 0.06698184, 0.0, 0.0]",2,5.713190317153931
"[0.040008735, 0.079246126, 0.030605962, 0.008333608, -0.02343434, -0.019112576, 0.0, 0.0]","[0.004515839, 1.4565169, 0.07259183, 0.2709198, 0.0058336747, 0.02620228, 0.0, 0.0]",2,5.713190317153931
"[0.040008735, 0.079246126, 0.030605962, 0.008333608, -0.02343434, -0.019112576, 0.0, 0.0]","[0.043576814, 1.4493687, 0.72076184, 0.25421154, -0.0350095, -0.062396526, 0.0, 0.0]",2,5.713190317153931
"[0.17846327, 0.77658594, -0.04735639, -0.017969651, -0.002664102, -0.0007776889, 0.0, 0.0]","[-0.03966427, 1.4023999, -0.64495146, -0.123175025, 0.02622637, 0.00061619945, 0.0, 0.0]",2,6.463605642318726
"[0.17846327, 0.77658594, -0.04735639, -0.017969651, -0.002664102, -0.0007776889, 0.0, 0.0]","[-0.037343312, 1.337963, -0.609638, -0.6063689, 0.03639218, 0.044797685, 0.0, 0.0]",2,6.463605642318726
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[0.039324187, 1.4140062, 0.64450777, -0.043761734, -0.03963956, -0.061066084, 0.0, 0.0]",2,6.09573769569397
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[-0.036963653, 1.3830395, -0.6120967, -0.23939604, 0.031601477, 0.038646653, 0.0, 0.0]",2,6.09573769569397
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[-0.02573948, 1.406008, -0.42578793, -0.0955046, 0.018143337, 0.045024157, 0.0, 0.0]",2,6.09573769569397
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[-0.04288044, 1.3533046, -0.7072558, -0.4929412, 0.036789525, 0.06715499, 0.0, 0.0]",2,6.09573769569397
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[-0.040337373, 1.4539949, -0.6628621, 0.26185918, 0.03012475, 0.04319639, 0.0, 0.0]",2,6.09573769569397
"[0.029444695, 0.17026077, -0.0002911442, -0.041025274, -0.019217052, 0.0276474, 0.0, 0.0]","[-0.034291267, 1.4529188, -0.56127495, 0.254023, 0.02231909, 0.014237677, 0.0, 0.0]",2,6.3024046421051025
"[0.029444695, 0.17026077, -0.0002911442, -0.041025274, -0.019217052, 0.0276474, 0.0, 0.0]","[-0.02417078, 1.3954334, -0.38699204, -0.18058734, 0.020199768, -0.01040696, 0.0, 0.0]",2,6.3024046421051025
"[0.029444695, 0.17026077, -0.0002911442, -0.041025274, -0.019217052, 0.0276474, 0.0, 0.0]","[-0.030995559, 1.3591017, -0.49763304, -0.4124556, 0.021961424, -0.0039301296, 0.0, 0.0]",2,6.3024046421051025
"[0.029444695, 0.17026077, -0.0002911442, -0.041025274, -0.019217052, 0.0276474, 0.0, 0.0]","[-0.041362952, 1.3640196, -0.6922573, -0.38134167, 0.03693347, 0.056350075, 0.0, 0.0]",2,6.3024046421051025
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[-0.030095672, 1.421425, -0.49679822, 0.020133514, 0.021266486, 0.03742495, 0.0, 0.0]",2,5.754530191421509
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[0.03514862, 1.393604, 0.5691943, -0.1875789, -0.018644378, 0.025024483, 0.0, 0.0]",2,5.754530191421509
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[-0.011551571, 1.4653918, -0.19345154, 0.3890053, 0.027750343, 0.11543204, 0.0, 0.0]",2,5.754530191421509
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[0.04195728, 1.379005, 0.68276775, -0.30238742, -0.029939324, -0.012590222, 0.0, 0.0]",2,5.754530191421509
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[0.005906868, 1.4409627, 0.08947232, 0.15647477, -0.0018305707, 0.031193485, 0.0, 0.0]",2,5.754530191421509
"[-0.08830051, 0.7341531, 0.05933115, -0.0508821, 0.010289931, 0.03566139, 0.0, 0.0]","[0.043987848, 1.3606848, 0.7109198, -0.43836147, -0.028396087, 0.014295688, 0.0, 0.0]",2,5.62111759185791
"[-0.08830051, 0.7341531, 0.05933115, -0.0508821, 0.010289931, 0.03566139, 0.0, 0.0]","[0.028122138, 1.410144, 0.48499513, -0.021711402, -0.014897481, -0.049587093, 0.0, 0.0]",2,5.62111759185791
"[-0.08830051, 0.7341531, 0.05933115, -0.0508821, 0.010289931, 0.03566139, 0.0, 0.0]","[0.04410677, 1.3673574, 0.71953213, -0.3889715, -0.043195203, -0.051497936, 0.0, 0.0]",2,5.62111759185791
"[-0.0022343635, 0.24721828, 0.00786929, -0.01333956, 0.010925011, -0.0030363142, 0.0, 0.0]","[-0.03517952, 1.4355735, -0.5639915, 0.1206877, 0.023245132, -0.01830189, 0.0, 0.0]",2,6.076836109161377
"[-0.0022343635, 0.24721828, 0.00786929, -0.01333956, 0.010925011, -0.0030363142, 0.0, 0.0]","[-0.040271472, 1.3582923, -0.66916025, -0.39864457, 0.02913729, 0.029754017, 0.0, 0.0]",2,6.076836109161377
"[-0.0022343635, 0.24721828, 0.00786929, -0.01333956, 0.010925011, -0.0030363142, 0.0, 0.0]","[-0.024061393, 1.396479, -0.38869038, -0.16817714, 0.008434847, -0.034826633, 0.0, 0.0]",2,6.076836109161377
"[-0.17346525, 0.16695064, 0.074323446, -0.0025484369, 0.005635164, 0.011212869, 0.0, 0.0]","[0.046097755, 1.3809386, 0.75224143, -0.28882343, -0.03321519, -0.023271454, 0.0, 0.0]",0,5.348254442214966
"[-0.17346525, 0.16695064, 0.074323446, -0.0025484369, 0.005635164, 0.011212869, 0.0, 0.0]","[0.03844776, 1.3923862, 0.62865174, -0.20376557, -0.0382136, -0.052199263, 0.0, 0.0]",0,5.348254442214966
"[-0.17346525, 0.16695064, 0.074323446, -0.0025484369, 0.005635164, 0.011212869, 0.0, 0.0]","[0.036085606, 1.3385195, 0.6023016, -0.530192, -0.033387482, -0.10483636, 0.0, 0.0]",0,5.348254442214966
"[-0.17346525, 0.16695064, 0.074323446, -0.0025484369, 0.005635164, 0.011212869, 0.0, 0.0]","[0.033884622, 1.3367977, 0.5411695, -0.56767905, -0.0292768, -0.07262738, 0.0, 0.0]",0,5.348254442214966
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[-0.040187836, 1.4553872, -0.6521072, 0.2712734, 0.031356845, 0.0187648, 0.0, 0.0]",2,5.20671820640564
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[-0.040049456, 1.4099262, -0.65958005, -0.06409426, 0.024062388, 0.018110095, 0.0, 0.0]",2,5.20671820640564
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[0.006916237, 1.461161, 0.11906322, 0.31325296, -0.0033084801, -0.021127101, 0.0, 0.0]",2,5.20671820640564
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[0.044836618, 1.3533642, 0.75360024, -0.46479872, -0.034721147, -0.04908423, 0.0, 0.0]",2,5.20671820640564
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[-0.02130432, 1.417253, -0.3465343, -0.019487565, 0.011622359, -0.0036897939, 0.0, 0.0]",2,5.20671820640564
"[-0.02409544, 0.18667546, 0.0023808847, -0.0050734775, -0.02151011, 0.06756497, 0.0, 0.0]","[0.027768707, 1.3649784, 0.4595546, -0.3344704, -0.02551451, -0.07711746, 0.0, 0.0]",0,5.623965263366699
"[-0.02409544, 0.18667546, 0.0023808847, -0.0050734775, -0.02151011, 0.06756497, 0.0, 0.0]","[0.041763306, 1.3859605, 0.6755222, -0.25136954, -0.027222088, 0.010602865, 0.0, 0.0]",0,5.623965263366699
"[-0.02409544, 0.18667546, 0.0023808847, -0.0050734775, -0.02151011, 0.06756497, 0.0, 0.0]","[0.009519195, 1.3751125, 0.15257499, -0.26989564, -0.020620888, -0.056352884, 0.0, 0.0]",0,5.623965263366699
"[-0.02409544, 0.18667546, 0.0023808847, -0.0050734775, -0.02151011, 0.06756497, 0.0, 0.0]","[0.0463912, 1.3388231, 0.7595523, -0.5667971, -0.04296255, -0.09369856, 0.0, 0.0]",0,5.623965263366699
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0.035315417, 1.3781204, 0.5703107, -0.27472922, -0.028599132, -0.033556797, 0.0, 0.0]",2,5.561875820159912
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0.045539476, 1.4046564, 0.7417117, -0.10621963, -0.03583662, -0.03095094, 0.0, 0.0]",2,5.561875820159912
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0.04706974, 1.3555896, 0.78137743, -0.46674293, -0.042914532, -0.10125879, 0.0, 0.0]",2,5.561875820159912
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[-0.039054014, 1.3753467, -0.63578093, -0.27945942, 0.033922903, 0.06976046, 0.0, 0.0]",2,5.561875820159912
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0.008275318, 1.4258413, 0.14688453, 0.04436446, -0.03200309, -0.12063743, 0.0, 0.0]",2,5.561875820159912
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0.004171753, 1.4625655, 0.0856802, 0.32697338, -0.0071278624, -0.07131789, 0.0, 0.0]",2,5.561875820159912
"[0.042901706, 0.67244685, 0.07793455, -0.07884281, 0.005342523, -0.022255361, 0.0, 0.0]","[-0.0029756546, 1.4662563, -0.040218584, 0.34381345, 0.0013193531, -0.034191955, 0.0, 0.0]",2,5.365111589431763
"[0.042901706, 0.67244685, 0.07793455, -0.07884281, 0.005342523, -0.022255361, 0.0, 0.0]","[-0.040380668, 1.3444924, -0.6698693, -0.51514745, 0.038233634, 0.058764677, 0.0, 0.0]",2,5.365111589431763
"[0.042901706, 0.67244685, 0.07793455, -0.07884281, 0.005342523, -0.022255361, 0.0, 0.0]","[-0.030540943, 1.3973649, -0.48750678, -0.16708116, 0.01614336, -0.043795295, 0.0, 0.0]",2,5.365111589431763
